"Part","Value","Device","Package","Description","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PROD_ID","RS_PART_NUMBER","RS_PRICE-STOCK","SF_SKU","SUPPLIER","VALUE",
"C1","100uF","100UF-POLAR-RADIAL-2.5MM-25V-20%","CPOL-RADIAL-2.5MM-6.5MM","100µF polarized capacitors","","","","","","","","","","","CAP-08439","","","","","100uF",
"C2","10nF","10NF-0402-50V-10%","0402","0.01uF/10nF/10,000pF ceramic capacitors","","","","","","","","","","","","","","","","10nF",
"C3","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C4","2.2uF","2.2UF-0603-10V-20%","0603","2.2µF ceramic capacitors","","","","","","","","","","","CAP-07888","","","","","2.2uF",
"C5","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C6","1.0uF","1.0UF-0603-16V-10%","0603","1µF ceramic capacitors","","","","","","","","","","","CAP-00868","","","","","1.0uF",
"C7","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C8","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C9","1.0uF","1.0UF-0603-16V-10%","0603","1µF ceramic capacitors","","","","","","","","","","","CAP-00868","","","","","1.0uF",
"C10","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C11","2.2uF","2.2UF-0603-10V-20%","0603","2.2µF ceramic capacitors","","","","","","","","","","","CAP-07888","","","","","2.2uF",
"C12","2.2uF","2.2UF-0603-10V-20%","0603","2.2µF ceramic capacitors","","","","","","","","","","","CAP-07888","","","","","2.2uF",
"C13","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C14","10nF","10NF-0402-50V-10%","0402","0.01uF/10nF/10,000pF ceramic capacitors","","","","","","","","","","","","","","","","10nF",
"C15","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C16","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C17","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C18","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C19","2.2uF","2.2UF-0603-10V-20%","0603","2.2µF ceramic capacitors","","","","","","","","","","","CAP-07888","","","","","2.2uF",
"C20","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C21","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C22","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C23","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C24","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C25","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C26","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C27","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C28","10uF","10UF-0402-6.3V-20%","0402","10.0µF ceramic capacitors","","","","","","","","","","","","","","","","10uF",
"C29","100uF","100UF-1210-20%-10V","1210","","","","","","","","","","","","","","","","","100uF",
"C30","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C31","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C32","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C33","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C34","1.0uF","1.0UF-0402-16V-10%","0402","1µF ceramic capacitors","","","","","","","","","","","CAP-12417","","","","","1.0uF",
"C35","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C36","NI","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C37","NI","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C38","1.5nF","1.5NF-0402","0402","","","","","","","","","","","","","","","","","1.5nF",
"C39","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C40","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C41","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C42","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C43","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C44","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C45","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C46","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C47","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C48","4.7nF","4.7NF-0402","0402","","","","","","","","","","","","","","","","","4.7nF",
"C49","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C50","10uF","10UF-0603-6.3V-20%","0603","10.0µF ceramic capacitors","","","","","","","","","","","CAP-11015","","","","","10uF",
"C51","22nF","22NF/22,000PF-0402-50V-10%","0402","0.022uF/22nF/22,000pF ceramic capacitors","","","","","","","","","","","C337699","","","","","22nF",
"C52","22nF","22NF/22,000PF-0402-50V-10%","0402","0.022uF/22nF/22,000pF ceramic capacitors","","","","","","","","","","","C337699","","","","","22nF",
"C53","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"C54","0.1uF","0.1UF-0402-16V-10%","0402","0.1µF ceramic capacitors","","","","","","","","","","","CAP-12416","","","","","0.1uF",
"D1","GREEN","LED-GREEN0603","LED-0603","Green SMD LED","","","","","","","","","","","DIO-00821","","","","","GREEN",
"IC1","ADS1299-X","ADS1299-X","QFP50P1200X1200X120-64N","ADS1299-x 24-Bit  Analog-to-Digital Converters (ADCs)","ADS1299-x 24-Bit  Analog-to-Digital Converters (ADCs)","1.2mm","Texas Instruments","ADS1299-X","","","","","","","","","","","","",
"IC2","ADUM3151-3","ADUM3151-3","SSOP20","The ADuM3151/ADuM3152/ADuM3153are 7-channel,","","","","","","","","","","","","","","","","",
"J1","","CONN_022.54MM_SCREWTERM","1X02_2.54_SCREWTERM","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","","","","","","",
"J2","","USB_MICRO-BREDUCED_PASTE","USB-B-MICRO-SMD_RED_PASTE","USB Type Micro-B Connector","","","","","","","","","","","CONN-11752","","","","","",
"J3","","CONN_02","1X02","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","","","","","","",
"J4","","CONN_02","1X02","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","","","","","","",
"J5","","CONN_02","1X02","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","","","","","","",
"J6","","CONN_10"","1X10","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","CONN-11563","","","","","",
"J7","","CONN_10"","1X10","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","CONN-11563","","","","","",
"J8","","CONN_10"","1X10","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","CONN-11563","","","","","",
"J9","","CONN_06SILK_FEMALE_PTH","1X06","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","CONN-08437","","","","","",
"J10","","CONN_02","1X02","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","","","","","","","","","",
